the,25131726
and,12368293
of,11971724
a,10327063
in,8035789
to,7277326
I,4725236
to,4456281
it,4453425
is,4237443
that,3921414
for,3787585
you,3568520
was,3384649
he,3323458
with,3095076
on,2871374
's,2439692
at,2275149
this,2174335
they,2131091
be,2118717
are,2104334
have,2095853
we,2092768
his,2054779
but,2048800
that,1968632
from,1884593
not,1871822
n't,1858869
she,1719851
by,1698219
or,1562165
do,1520565
an,1495549
as,1480797
had,1385700
what,1361267
were,1239291
their,1236355
all,1227134
has,1192491
who,1167096
her,1127332
my,1072807
if,1072615
would,1057682
said,1037828
about,1012181
can,987145
as,945873
up,919716
been,900765
so,896924
there,895233
one,878532
will,860681
me,836298
just,789790
people,787366
when,780204
which,779666
them,775168
him,775020
did,772423
out,772414
your,769838
some,769053
into,765592
know,729909
time,721409
could,711592
now,695697
than,665133
like,659427
',640161
think,636809
how,626966
then,623879
other,621653
our,610183
its,603623
these,586061
get,584993
two,584444
says,570397
going,537252
also,537098
first,530956
years,527547
because,506269
new,492693
well,489487
more,486372
see,482714
no,476659
here,476046
way,467800
her,461605
very,445323
many,437522
those,434590
only,429758
back,424619
go,423476
say,422280
one,422033
us,417833
even,415055
good,410105
make,410091
through,394093
any,393870
there,381355
down,379010
want,375156
more,373740
does,367907
may,363929
after,360173
year,355002
should,354862
over,346899
still,341583
world,337070
last,333047
take,332647
day,329417
in,327849
too,322209
as,321322
life,319765
when,310641
really,308802
man,305734
three,305225
between,301388
never,301061
something,295287
being,294908
much,280652
school,277496
out,276955
president,274806
another,274675
own,273741
on,272922
why,272531
right,269177
while,269151
most,258732
things,254898
state,254000
same,253754
come,253717
children,253431
house,252712
every,245745
where,245573
american,243074
might,239760
about,239440
over,238978
women,237492
again,237155
such,231593
against,231459
percent,226940
few,226559
each,226115
where,225423
students,224968
most,222608
family,220939
more,220753
look,219384
during,217897
work,216058
so,214831
thing,211671
off,211579
today,211033
great,208025
big,207742
always,207098
old,206861
next,204988
high,202671
came,201415
government,201118
city,200294
before,199507
got,198470
lot,197277
part,196113
without,195831
night,194320
find,194132
country,191480
place,191204
tell,190791
must,190684
national,190465
need,190335
money,188474
different,186925
under,186444
yes,186378
went,184543
water,182459
war,178200
men,177630
small,177437
ca,177178
mean,176428
made,176184
though,175276
room,175248
mother,174147
group,172647
four,172595
took,172387
little,171727
system,170545
days,168944
black,168338
give,167750
like,167297
both,166517
away,166055
number,165705
around,165431
until,164965
fact,164805
important,164447
woman,163861
case,163296
after,163198
made,162309
political,162090
times,161988
doing,161616
let,161495
head,161350
since,161185
often,160220
among,159378
home,159370
however,159244
hand,159216
million,158813
point,157480
help,156461
social,156243
ever,156047
keep,155606
yet,155165
father,154625
week,154103
health,153487
long,151993
sure,151900
business,151601
use,149459
feel,148066
kind,147762
young,147566
company,147470
eyes,146341
power,145988
university,145617
almost,145415
right,145404
done,145306
work,145048
information,144930
best,144894
five,144724
later,144601
nothing,144597
once,144550
much,144403
side,143688
ago,143081
got,143011
white,142584
thought,142422
real,141957
end,141829
around,141124
news,140880
program,140818
several,140107
believe,139978
whether,139640
knew,139008
told,138587
research,138586
public,138553
story,138313
together,137947
anything,137800
problem,137710
such,137063
education,136995
question,136389
back,136354
trying,135843
making,134695
only,133965
looking,132810
least,132652
already,132425
center,132398
table,131879
large,131200
having,130603
called,130036
child,129898
morning,129491
getting,129464
seen,129459
study,129110
put,128777
job,128761
yeah,128461
within,127569
face,127131
history,126972
maybe,125907
saw,125622
wanted,125207
community,125007
others,124985
asked,124969
actually,124496
across,123821
before,123749
found,123581
himself,123412
enough,122290
had,122106
including,121890
oh,121717
far,121647
although,121375
